
	154	385	406	233
	352	265	353	264
	282	307	285	305
	192	361	195	359
	153	381	368	252
	194	359	405	232
	291	203	491	53
	290	202	322	178
	285	307	405	235


	153	381	404	231
	152	383	404	232
	154	385	405	234
	216	346	402	234
	291	203	491	53
	290	203	370	142


	154	384	406	233
	152	383	404	232
	370	145	491	54
	291	203	491	53
	251	323	254	321
	349	264	352	262
	255	320	348	264
	154	385	405	235
	476	62	476	62
	468	68	468	68
	404	116	410	112


	152	383	404	232
	339	272	342	270
	153	384	338	273
	154	385	406	233
	271	311	274	309
	281	305	284	303
	291	203	491	52
	395	236	398	234
	246	326	249	324
	285	302	394	237
	460	74	460	74
	290	203	450	82
	265	319	266	318
	225	343	228	341


	154	385	405	234
	325	278	328	276
	153	381	283	303
	153	384	405	233
	152	383	404	232
	291	203	491	53
	476	63	482	58
	406	115	409	112


	152	383	404	231
	153	384	405	232
	154	384	406	233
	311	189	491	53
	291	203	491	52
	370	256	373	254
	290	202	306	190


	153	384	405	233
	153	382	404	231
	359	259	362	257
	230	337	233	335
	152	383	230	336
	154	385	406	233
	290	203	334	170
	370	145	491	54
	310	189	312	187
	416	108	491	52
	234	334	358	260


	153	383	405	232
	154	385	405	234
	153	381	404	231
	336	168	416	108
	311	189	491	54


	152	383	404	232
	154	384	406	233
	153	381	373	249
	291	203	491	52
	154	385	405	234


	154	384	406	233
	152	383	404	231
	290	203	334	170
	311	189	491	53
	291	203	296	199
	154	385	405	235
	431	98	474	65


	152	383	404	232
	153	384	405	233
	341	167	491	54
	236	332	367	253
	480	60	490	52
	432	96	478	62
	247	329	393	241
	290	304	291	303
	212	351	213	350


	153	382	404	231
	153	384	405	232
	154	385	406	233
	321	182	368	146
	291	203	305	192
	306	191	414	110
	266	315	269	313
	288	302	289	301
	369	253	370	252
	295	201	297	199
	285	307	288	305
	323	281	324	280


	152	383	404	231
	154	384	406	233
	291	203	491	52
	317	185	491	54
	382	133	385	130
	414	109	417	106
	185	367	405	235


	153	383	405	232
	154	384	406	233
	153	382	404	231
	291	203	491	52
	428	99	434	94
	356	155	358	153
	315	289	318	287
	473	67	475	65
	357	155	472	68
	290	202	298	196


	154	384	406	233
	153	382	404	231
	153	383	405	232
	292	203	322	180
	290	203	435	94
	324	179	491	53
	212	351	213	350
	245	331	405	235
	404	116	410	112


	152	383	404	232
	369	254	372	252
	373	252	405	232
	154	385	406	233
	292	203	491	53
	153	381	404	231
	153	384	282	306
	290	203	394	124
	192	363	193	362
	194	361	405	235


	153	384	405	232
	154	384	406	233
	153	382	404	231
	292	203	491	53
	290	203	491	52
	349	265	352	263
	238	332	239	331
	211	348	214	346
	161	378	164	376
	445	86	447	84
	275	313	405	235
	176	369	179	367
	368	144	370	142
	191	360	194	358


	153	384	405	232
	153	381	363	255
	154	384	406	233
	291	203	491	52
	152	383	404	232
	292	203	491	53
	290	202	322	178
	154	385	344	271


	152	383	404	232
	153	384	405	233
	415	109	458	76
	292	203	491	53
	320	286	323	284


	153	384	405	233
	153	381	404	231
	152	383	404	232
	290	203	490	52
	292	203	491	53
	380	250	383	248


	154	385	406	233
	152	383	404	232
	153	384	405	232
	290	203	491	52
	292	203	491	53
	153	381	404	231
	362	261	363	260
