

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	252	439	20	21	143.5	11
1	338	432	15	21	161.0	11
2	328	389	13	21	72.0	11
3	562	385	18	21	107.5	11
4	361	374	3	21	36.0	11
5	95	285	2	2	1.0	11
5	76	285	18	15	71.5	11
6	162	222	13	21	57.0	11
7	201	220	11	21	137.5	11
8	216	202	13	13	36.0	11
9	218	202	4	4	6.5	11
9	217	194	8	4	14.5	11
9	235	106	18	21	239.0	11
10	427	79	17	21	65.0	11
11	71	37	16	21	100.5	11
12	603	19	17	21	211.5	11
13	389	17	13	21	116.0	11
14	550	16	20	21	162.0	11

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	253	439	20	21	141.0	12
1	339	432	15	21	161.0	12
2	328	390	13	21	70.5	12
3	561	387	19	21	112.0	12
4	362	374	3	21	36.0	12
5	96	287	2	2	1.0	12
5	77	287	18	15	71.5	12
6	162	222	13	21	58.0	12
7	201	220	11	21	137.5	12
8	218	203	11	13	46.5	12
9	217	196	7	3	9.0	12
9	237	108	18	21	239.0	12
10	429	80	17	21	67.0	12
11	73	37	16	21	102.0	12
12	603	20	17	21	210.5	12
13	389	17	13	21	116.0	12
14	550	16	20	21	162.5	12

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	253	441	20	21	141.0	13
1	340	434	15	21	161.0	13
2	328	392	13	21	68.0	13
3	561	387	19	21	112.0	13
4	362	374	3	21	36.0	13
5	97	287	2	2	1.0	13
5	78	287	18	15	71.5	13
6	164	222	13	21	58.0	13
7	201	220	11	21	137.5	13
8	220	204	11	13	45.0	13
9	219	196	6	3	6.0	13
9	237	110	18	21	239.0	13
10	429	82	17	21	67.0	13
11	73	37	16	21	102.0	13
12	604	21	17	21	210.5	13
13	390	19	13	21	116.0	13
14	552	16	20	21	162.5	13

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	255	442	20	21	142.0	14
1	341	434	15	21	161.0	14
2	329	394	13	21	70.5	14
3	563	387	19	21	112.0	14
4	364	374	3	21	36.0	14
5	99	289	2	2	1.0	14
5	80	289	18	15	70.0	14
6	165	222	13	21	58.0	14
7	201	220	11	21	137.5	14
8	220	204	11	13	46.0	14
9	219	196	6	3	6.0	14
9	239	112	18	21	239.0	14
10	429	83	17	21	66.0	14
11	73	37	16	21	102.0	14
12	606	23	17	21	210.5	14
13	390	20	13	21	116.0	14
14	553	17	20	21	162.5	14

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	256	444	20	21	142.0	15
1	342	434	15	21	161.0	15
2	329	396	13	21	70.5	15
3	564	389	19	21	112.0	15
4	364	376	3	21	36.0	15
5	99	289	2	2	1.0	15
5	80	289	18	15	70.0	15
6	166	223	13	21	58.0	15
7	201	220	11	21	137.5	15
8	220	204	11	13	46.0	15
9	219	196	6	3	6.0	15
9	241	114	18	21	239.0	15
10	431	83	17	21	66.0	15
11	75	38	16	21	102.0	15
12	606	24	17	21	210.5	15
13	391	20	13	21	116.0	15
14	555	17	20	21	162.5	15

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	256	444	20	21	142.0	16
1	343	434	15	21	160.0	16
2	329	396	13	21	70.5	16
3	565	391	19	21	112.0	16
4	364	377	3	21	36.0	16
5	99	289	2	2	1.0	16
5	80	289	18	15	70.0	16
6	166	223	13	21	58.0	16
7	201	220	11	21	137.5	16
8	220	204	11	13	46.0	16
9	219	196	6	3	6.0	16
9	243	115	18	21	239.0	16
10	431	83	17	21	66.0	16
11	77	38	16	21	102.0	16
12	606	25	17	21	210.5	16
13	393	20	13	21	116.0	16
14	555	17	20	21	162.5	16

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	258	444	20	21	142.0	17
1	345	435	15	21	160.0	17
2	329	398	13	21	70.5	17
3	567	391	19	21	112.0	17
4	365	379	3	21	36.0	17
5	99	289	2	2	1.0	17
5	80	289	18	15	70.0	17
6	166	224	13	21	58.0	17
7	203	222	11	21	137.5	17
8	218	204	13	13	49.5	17
9	219	196	6	3	6.0	17
9	243	116	18	21	239.0	17
10	432	83	17	21	65.0	17
11	78	39	16	21	102.0	17
12	607	26	17	21	210.5	17
13	394	20	13	21	116.0	17
14	555	18	20	21	162.0	17

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	258	444	20	21	142.0	18
1	345	437	15	21	160.0	18
2	329	400	13	21	70.5	18
3	567	391	18	21	110.0	18
4	366	379	3	21	36.0	18
5	99	291	2	2	1.0	18
5	80	291	18	15	70.0	18
6	168	225	13	21	58.0	18
7	203	223	11	21	137.5	18
8	219	203	13	14	51.5	18
9	220	196	5	3	4.0	18
9	243	117	18	21	239.0	18
10	433	84	17	21	65.0	18
11	78	41	16	21	102.0	18
12	607	26	17	21	210.5	18
13	394	20	13	21	116.0	18
14	555	18	20	21	162.0	18

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	444	20	21	142.0	19
1	347	437	15	21	160.0	19
2	330	400	13	21	70.5	19
3	567	392	18	21	110.0	19
4	366	381	3	21	36.0	19
5	101	293	2	2	1.0	19
5	82	293	18	15	69.0	19
6	170	227	13	21	58.0	19
7	203	223	11	21	137.5	19
8	219	203	13	14	51.5	19
9	220	196	5	3	4.0	19
9	243	118	18	21	239.0	19
10	434	86	17	21	65.0	19
11	79	41	16	21	102.0	19
12	607	27	17	21	210.5	19
13	394	22	13	21	116.0	19
14	555	20	20	21	161.0	19

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	445	20	21	142.0	20
1	347	439	15	21	160.0	20
2	331	402	13	21	70.5	20
3	567	393	19	21	112.0	20
4	368	381	3	21	36.0	20
5	103	294	2	2	1.0	20
5	84	294	18	15	69.0	20
6	172	227	13	21	57.0	20
7	203	223	11	21	137.5	20
8	220	201	13	16	55.0	20
9	221	197	2	2	1.0	20
9	243	120	18	21	239.0	20
10	434	88	17	21	65.0	20
11	80	41	16	21	102.0	20
12	609	27	17	21	210.5	20
13	396	24	13	21	116.0	20
14	557	20	20	21	162.0	20

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	445	20	21	142.0	21
1	347	439	15	21	160.0	21
2	331	402	13	21	70.5	21
3	567	394	18	21	110.0	21
4	368	382	3	21	36.0	21
5	103	294	2	2	1.0	21
5	84	294	18	15	69.0	21
6	173	227	13	21	57.0	21
7	203	223	11	21	137.5	21
8	220	201	13	16	55.0	21
9	221	197	2	2	1.0	21
9	243	120	18	21	239.0	21
10	434	89	17	21	65.0	21
11	80	42	16	21	102.0	21
12	609	27	17	21	210.5	21
13	396	26	13	21	116.0	21
14	557	22	20	21	162.0	21

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	445	20	21	142.0	22
1	348	440	15	21	161.0	22
2	331	403	13	21	70.5	22
3	569	396	18	21	109.0	22
4	369	382	3	21	36.0	22
5	105	294	2	2	1.0	22
5	86	294	18	15	69.0	22
6	174	228	13	21	57.0	22
7	204	224	11	21	137.5	22
8	220	201	13	16	55.0	22
9	221	197	2	2	1.0	22
9	244	122	18	21	239.0	22
10	436	91	17	21	65.0	22
11	82	42	16	21	102.0	22
12	609	29	17	21	210.5	22
13	397	26	13	21	116.0	22
14	559	22	20	21	162.0	22

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	261	446	20	21	142.0	23
1	349	441	15	21	161.0	23
2	354	436	2	2	1.0	23
2	332	403	13	21	70.5	23
3	569	396	19	21	111.0	23
4	369	382	3	21	36.0	23
5	105	295	2	2	1.0	23
5	86	295	18	15	69.0	23
6	176	228	13	21	57.0	23
7	206	224	11	21	137.5	23
8	222	199	13	19	62.0	23
9	244	124	18	21	239.0	23
10	436	93	17	21	65.0	23
11	82	42	16	21	102.0	23
12	609	30	17	21	210.5	23
13	398	28	13	21	116.0	23
14	559	24	20	21	162.0	23

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	261	446	20	21	139.5	24
1	350	441	15	21	162.5	24
2	354	436	2	2	1.0	24
2	332	404	13	21	70.5	24
3	569	396	19	21	111.5	24
4	371	383	3	21	37.0	24
5	105	296	2	2	1.0	24
5	86	296	18	15	72.0	24
6	178	228	13	21	58.0	24
7	208	224	11	21	137.5	24
8	223	199	13	21	69.0	24
9	244	125	18	21	239.0	24
10	437	95	17	21	66.0	24
11	83	42	16	21	98.5	24
12	611	30	17	21	210.5	24
13	398	30	13	21	117.0	24
14	559	24	20	21	162.0	24

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	261	446	20	21	141.5	25
1	351	441	15	21	161.5	25
2	355	436	2	2	1.0	25
2	332	404	13	21	70.5	25
3	569	397	19	21	111.5	25
4	371	383	3	21	37.0	25
5	106	297	2	2	1.0	25
5	87	297	18	15	72.0	25
6	178	229	13	21	58.0	25
7	208	226	11	21	137.5	25
8	225	199	13	21	74.0	25
9	244	125	18	21	239.0	25
10	439	97	17	21	66.0	25
11	85	43	16	21	103.0	25
12	398	32	13	21	117.0	25
13	611	30	17	21	210.5	25
14	559	25	20	21	162.0	25
15	124	6	19	21	130.5	25

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	263	446	20	21	141.5	26
1	351	442	15	21	157.5	26
2	333	406	13	21	70.5	26
3	569	399	19	21	111.5	26
4	371	384	3	21	37.0	26
5	87	299	18	15	70.0	26
6	180	231	13	21	57.0	26
7	208	226	11	21	137.5	26
8	227	199	13	21	75.0	26
9	246	127	18	21	239.0	26
10	439	98	17	21	66.0	26
11	85	44	16	21	103.5	26
12	398	34	13	21	117.0	26
13	612	30	17	21	210.5	26
14	559	27	20	21	162.0	26
15	125	6	19	21	130.5	26

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	263	448	20	21	141.5	27
1	352	442	15	21	160.0	27
2	335	406	13	21	70.5	27
3	569	400	19	21	111.5	27
4	372	384	3	21	37.0	27
5	7	380	13	21	86.5	27
6	108	300	2	2	1.0	27
6	89	300	18	15	71.5	27
7	181	231	13	21	57.0	27
8	208	227	11	21	137.5	27
9	227	199	13	21	75.0	27
10	248	127	18	21	239.0	27
11	441	98	17	21	66.0	27
12	87	44	16	21	103.5	27
13	398	36	13	21	117.0	27
14	612	30	17	21	210.5	27
15	560	28	20	21	162.0	27
16	127	8	19	21	133.5	27

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	265	448	20	21	141.5	28
1	354	442	15	21	160.0	28
2	335	407	13	21	70.5	28
3	570	401	19	21	111.5	28
4	372	384	3	21	37.0	28
5	8	380	13	21	86.5	28
6	108	301	2	2	1.0	28
6	89	301	18	15	71.5	28
7	182	231	13	21	57.0	28
