

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	233	414	20	19	272.5	0
1	154	283	12	20	77.0	0
2	11	277	12	20	74.5	0
3	307	275	20	15	80.5	0
4	163	261	15	18	109.5	0
5	376	244	14	20	74.0	0
6	121	208	255	157	1377.5	0
6	78	202	11	20	97.5	0
7	34	199	18	20	139.0	0
8	596	170	17	20	180.0	0
9	110	168	14	20	87.0	0
10	17	81	20	18	69.5	0
11	525	14	19	20	77.5	0

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	235	414	20	19	272.5	1
1	155	285	12	20	77.0	1
2	12	279	12	20	74.0	1
3	307	275	20	15	80.5	1
4	164	264	14	16	105.0	1
5	376	244	14	20	78.0	1
6	121	209	255	156	1363.5	1
6	79	204	11	20	97.5	1
7	36	200	18	20	138.0	1
8	598	172	17	20	180.0	1
9	111	169	14	20	87.0	1
10	17	81	20	18	69.5	1
11	527	14	19	20	77.5	1

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	236	414	20	19	272.5	2
1	155	286	12	20	77.0	2
2	12	281	12	20	75.0	2
3	307	275	20	15	80.5	2
4	165	264	14	17	108.0	2
5	378	244	14	20	75.0	2
6	121	210	255	155	1357.5	2
6	80	204	11	20	97.5	2
7	38	202	18	20	138.0	2
8	598	172	17	20	181.5	2
9	111	171	14	20	87.0	2
10	17	81	20	18	69.5	2
11	527	14	19	20	77.5	2

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	236	416	20	19	272.5	3
1	155	286	12	20	77.0	3
2	13	283	12	20	75.0	3
3	307	275	20	15	80.5	3
4	165	264	14	17	108.0	3
5	378	244	14	20	75.0	3
6	121	210	255	155	1355.0	3
6	81	204	11	20	97.5	3
7	38	203	18	20	138.0	3
8	600	172	17	20	181.5	3
9	113	171	14	20	87.0	3
10	17	81	20	18	69.5	3
11	527	15	19	20	77.5	3

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	236	416	20	19	272.5	4
1	156	287	12	20	77.0	4
2	13	283	12	20	75.0	4
3	307	276	20	15	80.5	4
4	165	264	14	18	140.0	4
5	378	243	18	21	80.5	4
6	121	210	255	155	1349.0	4
6	81	206	11	20	97.5	4
7	38	203	18	20	138.0	4
8	600	174	17	20	181.5	4
9	114	171	14	20	87.0	4
10	17	83	20	18	69.5	4
11	527	15	19	20	77.5	4

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	236	416	20	19	271.5	5
1	156	288	12	20	77.0	5
2	13	285	12	20	75.0	5
3	308	278	20	15	80.5	5
4	165	264	14	19	146.5	5
5	380	244	14	20	75.0	5
6	121	210	255	155	1339.0	5
6	82	206	11	20	97.5	5
7	40	204	18	20	138.0	5
8	601	174	17	20	181.5	5
9	114	171	14	20	87.0	5
10	18	85	20	18	69.5	5
11	529	15	19	20	77.5	5

