

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	572	328	14	21	118.0	11
1	294	239	13	20	118.0	11
2	283	174	20	21	240.5	11
3	210	165	17	19	62.5	11
4	541	154	11	21	111.5	11
5	465	138	11	21	131.5	11
6	238	114	19	21	177.0	11
7	153	93	12	20	73.0	11
8	556	59	13	21	107.0	11
9	225	14	18	20	115.5	11
10	140	8	14	21	68.5	11

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	572	329	14	21	119.0	12
1	296	241	13	20	117.5	12
2	284	174	20	21	240.5	12
3	210	165	17	20	65.5	12
4	542	156	11	21	111.5	12
5	465	140	11	21	131.5	12
6	240	116	19	21	177.0	12
7	154	94	12	20	71.0	12
8	556	59	13	21	108.0	12
9	227	14	18	20	115.5	12
10	141	8	14	21	71.0	12

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	573	329	14	21	119.0	13
1	296	243	13	20	118.0	13
2	284	174	20	21	240.5	13
3	212	165	17	20	65.5	13
4	542	158	11	21	111.5	13
5	466	140	11	21	131.5	13
6	240	116	19	21	177.0	13
7	156	96	12	20	73.0	13
8	558	59	13	21	108.0	13
9	229	16	18	20	115.5	13
10	141	9	14	21	71.0	13

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	573	331	14	21	119.0	14
1	298	243	13	20	118.0	14
2	285	174	20	21	240.5	14
3	212	166	17	20	65.5	14
4	542	160	11	21	111.5	14
5	467	141	11	21	132.5	14
6	240	116	19	21	177.0	14
7	157	97	12	20	73.0	14
8	558	59	13	21	108.0	14
9	231	18	18	20	115.5	14
10	141	9	14	21	71.0	14

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	574	331	14	21	119.0	15
1	298	243	13	20	118.0	15
2	285	175	20	21	240.5	15
3	212	166	17	20	65.5	15
4	544	162	11	21	111.5	15
5	467	141	11	21	132.5	15
