

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
3	561	385	18	20	77.0	10
4	361	373	2	20	18.5	10
5	74	284	21	14	65.0	10
6	179	222	255	155	1209.0	10
6	160	222	13	20	42.5	10
7	200	219	10	20	117.5	10
8	213	202	13	11	15.5	10
9	215	193	7	11	25.5	10
10	235	104	18	20	217.5	10
11	427	77	16	20	51.5	10
12	70	35	16	20	73.5	10
13	601	19	16	20	186.0	10
14	388	17	12	20	95.0	10
15	550	16	19	20	124.5	10

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	252	439	19	20	113.0	11
1	338	432	14	20	140.5	11
2	327	389	13	20	51.0	11
3	561	385	18	20	77.0	11
4	361	374	2	20	18.5	11
5	76	285	20	14	50.0	11
6	179	222	255	155	1209.0	11
6	161	222	13	20	42.5	11
7	201	220	10	20	117.5	11
8	215	201	13	13	25.0	11
9	217	194	7	4	12.0	11
9	235	106	18	20	217.5	11
10	427	79	16	20	51.5	11
11	71	37	16	20	73.5	11
12	603	19	16	20	186.0	11
13	389	17	12	20	95.0	11
14	550	16	19	20	130.0	11

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	253	439	19	20	110.0	12
1	339	432	14	20	140.5	12
2	327	390	13	20	51.0	12
3	561	387	18	20	77.0	12
4	362	374	2	20	18.5	12
5	77	287	20	14	50.0	12
6	179	222	255	155	1209.0	12
6	161	222	13	20	43.5	12
7	201	220	10	20	117.5	12
8	217	203	11	12	30.5	12
9	217	196	7	3	7.5	12
9	237	108	18	20	217.5	12
10	429	80	16	20	51.5	12
11	73	37	16	20	73.0	12
12	603	20	16	20	185.0	12
13	389	17	12	20	94.0	12
14	550	16	19	20	124.5	12

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	253	441	19	20	110.0	13
1	340	434	14	20	140.5	13
2	327	392	13	20	51.0	13
3	561	387	18	20	77.0	13
4	362	374	2	20	18.5	13
5	78	287	20	14	50.0	13
6	179	222	255	155	1209.0	13
6	163	222	13	20	43.5	13
7	201	220	10	20	117.5	13
8	219	203	11	13	34.0	13
9	219	196	5	3	3.5	13
9	237	110	18	20	217.5	13
10	429	82	16	20	58.5	13
11	73	37	16	20	73.0	13
12	604	21	16	20	185.0	13
13	390	19	12	20	94.0	13
14	552	16	19	20	124.5	13

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
