

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
8	238	199	17	21	135.0	21
9	318	188	15	12	56.0	21
9	64	99	12	21	63.5	21
10	106	81	15	21	143.0	21
11	73	39	15	19	97.5	21
12	275	18	15	21	80.5	21
13	62	18	17	21	93.0	21
14	563	12	13	21	146.0	21

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	222	435	20	17	73.5	22
1	57	427	12	21	74.0	22
2	425	396	10	20	90.5	22
3	125	380	17	21	179.5	22
4	528	309	19	21	96.0	22
5	197	237	15	20	142.5	22
6	315	218	10	21	45.0	22
7	31	205	15	21	229.0	22
8	324	201	5	9	17.0	22
8	238	199	17	21	135.0	22
9	318	189	15	12	45.5	22
9	65	101	12	21	63.5	22
10	106	83	15	21	143.0	22
11	75	40	14	18	82.5	22
12	74	40	3	2	2.0	22
12	277	20	15	21	80.0	22
13	64	19	17	21	93.0	22
14	563	12	13	21	146.0	22

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	222	436	20	17	73.5	23
1	58	433	12	16	48.5	23
2	59	428	11	7	21.0	23
2	426	396	10	20	90.5	23
3	126	380	17	21	179.5	23
4	530	310	19	21	96.0	23
5	199	237	15	20	142.5	23
6	317	218	10	21	45.0	23
7	33	205	15	21	229.0	23
8	325	200	6	11	21.0	23
8	238	199	17	21	135.0	23
9	319	190	12	11	30.5	23
9	67	102	12	21	63.5	23
10	106	85	15	21	143.0	23
11	76	40	15	19	97.5	23
12	277	22	15	21	80.0	23
13	64	19	17	21	93.0	23
14	563	14	13	21	146.0	23

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	224	436	20	17	73.5	24
1	60	429	12	21	74.0	24
2	427	398	10	20	90.5	24
3	126	381	17	21	179.0	24
4	532	312	19	21	96.0	24
5	200	238	15	20	143.5	24
6	317	220	10	21	45.0	24
7	33	205	15	21	229.0	24
8	239	199	17	21	134.0	24
9	327	197	8	16	34.5	24
10	321	192	10	8	21.5	24
10	69	102	12	21	57.0	24
11	107	86	15	21	143.0	24
12	78	39	15	20	100.5	24
13	278	22	15	21	81.0	24
14	65	19	17	21	94.0	24
15	565	15	13	21	147.0	24

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	224	436	20	17	73.5	25
1	61	429	12	21	74.0	25
2	428	398	10	20	90.5	25
3	127	383	17	21	179.0	25
4	534	314	19	21	96.0	25
5	202	238	15	20	142.5	25
6	317	220	10	21	45.0	25
7	34	205	15	21	229.0	25
8	239	200	17	21	134.0	25
9	327	197	8	16	34.5	25
10	321	192	10	8	21.5	25
10	71	103	12	21	63.5	25
11	108	87	15	21	143.0	25
12	80	42	3	2	2.0	25
12	81	40	14	20	89.0	25
13	278	22	15	21	81.0	25
14	66	21	17	21	94.0	25
15	567	17	13	21	147.0	25

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	224	437	20	17	73.5	26
1	62	429	12	21	74.0	26
2	429	399	10	20	90.5	26
3	129	384	17	21	179.5	26
4	534	315	19	21	96.0	26
5	202	240	15	20	142.5	26
6	317	222	10	21	43.0	26
7	35	206	15	21	229.0	26
8	240	201	17	21	134.0	26
9	327	197	8	16	34.5	26
10	321	192	10	8	21.5	26
10	72	103	12	21	63.5	26
11	109	88	15	21	143.0	26
12	81	42	15	20	110.0	26
13	278	23	15	21	80.0	26
14	67	21	17	21	94.0	26
15	568	17	13	21	146.0	26

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	226	439	20	17	73.5	27
1	63	429	12	21	74.0	27
2	429	399	10	20	90.5	27
3	129	384	17	21	179.5	27
4	534	316	19	21	96.0	27
5	202	240	15	20	142.5	27
6	318	222	10	21	45.0	27
7	35	207	15	21	229.0	27
8	242	203	17	21	134.0	27
9	327	197	8	16	34.5	27
10	321	192	10	8	21.5	27
10	73	104	12	21	63.5	27
11	109	88	15	21	143.0	27
12	83	43	15	21	113.0	27
13	278	23	15	21	81.0	27
14	67	21	17	21	94.0	27
15	568	17	13	21	146.0	27

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	227	439	20	17	73.5	28
1	65	429	12	21	74.0	28
2	429	399	10	20	90.5	28
3	131	384	17	21	179.5	28
4	534	316	19	21	96.0	28
5	202	240	15	20	142.5	28
6	318	223	10	21	45.0	28
7	35	209	15	21	229.0	28
8	242	205	17	21	134.0	28
9	327	197	8	16	33.5	28
10	321	192	10	8	21.5	28
10	73	104	12	21	63.5	28
11	109	90	15	21	143.0	28
12	83	45	15	21	113.0	28
13	279	23	15	21	81.0	28
14	67	22	17	21	94.0	28
15	569	19	13	21	146.0	28

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	229	440	20	17	73.5	29
1	67	431	12	21	74.0	29
2	430	399	10	20	90.5	29
3	132	384	17	21	179.5	29
4	534	316	19	21	96.0	29
5	204	242	15	20	142.5	29
6	318	225	10	21	45.0	29
7	35	209	15	21	229.0	29
8	242	205	17	21	134.0	29
9	325	196	13	19	58.5	29
10	75	104	12	21	63.5	29
11	109	91	15	21	143.0	29
12	84	46	15	21	113.0	29
13	279	23	15	21	81.0	29
14	68	22	17	21	94.0	29
15	571	19	13	21	146.0	29

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	229	440	20	17	73.5	30
1	69	433	12	21	74.0	30
