

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	538	449	9	20	62.0	0
1	563	320	14	20	105.0	0
2	144	295	255	155	1209.0	0
2	279	232	14	20	101.5	0
3	614	207	20	20	78.5	0
4	279	168	19	20	218.0	0
5	202	156	16	20	51.5	0
6	532	143	12	20	101.0	0
7	457	128	10	20	114.0	0
8	230	108	18	20	145.5	0
9	144	88	12	20	100.0	0
10	551	50	12	20	89.5	0
11	221	8	19	20	95.5	0

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	449	9	20	62.0	1
1	564	320	14	20	105.0	1
2	144	295	255	155	1209.0	1
2	281	232	14	20	102.5	1
3	616	207	16	20	66.0	1
4	279	170	19	20	217.5	1
5	202	158	16	20	52.5	1
6	532	143	12	20	101.0	1
7	458	128	10	20	114.0	1
8	232	108	18	20	145.5	1
9	146	88	12	20	100.0	1
10	552	51	12	20	89.5	1
11	222	8	19	20	95.5	1

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	451	9	20	62.0	2
1	564	322	14	20	105.0	2
2	144	295	255	155	1209.0	2
2	283	234	14	20	100.0	2
3	616	208	16	20	66.0	2
4	280	171	19	20	217.5	2
5	203	160	16	20	54.5	2
6	534	145	12	20	101.0	2
7	458	128	10	20	114.0	2
8	232	109	18	20	145.5	2
9	146	89	12	20	100.0	2
10	552	53	12	20	89.5	2
11	222	9	19	20	95.5	2

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	451	9	20	63.0	3
1	565	322	14	20	105.0	3
2	141	295	258	156	1215.0	3
2	285	234	14	20	100.0	3
3	617	208	16	20	66.0	3
4	280	173	19	20	218.0	3
5	203	160	16	20	54.5	3
6	536	145	12	20	101.0	3
7	459	128	13	20	119.0	3
8	234	109	18	20	145.5	3
9	148	89	12	20	100.0	3
10	552	54	12	20	89.5	3
11	222	10	19	20	95.5	3

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	453	9	20	63.0	4
1	567	322	14	20	105.0	4
2	144	295	255	155	1209.0	4
2	286	232	14	22	107.0	4
3	617	210	16	20	69.0	4
4	280	173	19	20	218.0	4
5	204	160	16	20	54.5	4
6	536	145	12	20	101.0	4
7	461	128	10	20	114.0	4
8	236	111	18	20	145.5	4
9	149	89	12	20	100.0	4
