

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	174	455	20	16	158.5	0
1	203	416	20	17	58.5	0
2	47	411	12	20	104.5	0
3	405	379	10	20	82.5	0
4	102	365	18	20	163.0	0
5	508	293	18	20	63.5	0
6	190	222	14	20	125.0	0
7	304	216	4	10	5.0	0
7	136	207	255	155	1209.0	0
7	301	206	9	4	8.5	0
7	14	188	14	20	211.0	0
8	213	182	16	20	108.5	0
9	304	174	15	20	113.0	0
10	51	82	14	20	46.5	0
11	91	57	14	20	112.0	0
12	43	52	7	3	4.0	0
12	50	8	16	28	100.5	0

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	174	455	20	16	158.5	1
1	204	418	20	17	58.5	1
2	47	411	12	20	104.5	1
3	405	379	10	20	82.5	1
4	104	365	18	20	163.0	1
5	508	295	18	20	63.5	1
6	190	223	14	20	125.0	1
7	304	216	4	10	5.0	1
7	136	207	255	155	1209.0	1
7	301	206	9	4	7.5	1
7	14	189	14	20	211.0	1
8	212	183	19	20	112.5	1
9	305	174	15	20	113.0	1
10	357	91	4	5	5.0	1
10	51	82	14	20	46.5	1
11	91	59	14	20	112.0	1
12	51	8	16	28	98.5	1

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	174	457	20	16	158.5	2
1	204	418	20	17	58.5	2
2	47	413	12	20	104.5	2
3	405	380	10	20	82.5	2
4	104	365	18	20	163.0	2
5	510	296	18	20	64.5	2
6	191	224	14	20	125.0	2
7	304	216	4	10	5.0	2
7	136	207	255	155	1215.5	2
7	301	206	9	4	8.5	2
7	14	191	14	20	211.0	2
8	215	183	16	20	108.5	2
9	307	174	15	20	113.0	2
10	496	141	4	4	4.0	2
10	53	84	14	20	46.5	2
11	91	61	14	20	112.0	2
12	53	9	16	28	98.5	2

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	175	457	20	16	158.5	3
1	205	418	20	17	57.0	3
2	48	413	12	20	104.5	3
3	406	381	10	20	82.5	3
4	104	365	18	20	163.0	3
5	511	296	18	20	64.5	3
6	192	224	14	20	125.0	3
7	305	216	4	10	5.5	3
7	136	207	255	155	1211.0	3
7	302	206	9	4	5.5	3
7	16	191	14	20	211.0	3
8	217	183	16	20	108.5	3
9	307	174	15	20	113.0	3
10	55	84	14	20	46.5	3
11	93	63	14	20	112.0	3
12	53	11	17	28	99.0	3

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	205	420	20	17	60.0	4
1	48	415	12	20	103.5	4
2	407	381	10	20	82.5	4
3	105	367	18	20	162.0	4
4	511	297	18	20	64.5	4
5	192	224	14	20	125.0	4
6	305	216	4	11	6.5	4
6	136	207	255	155	1213.5	4
6	302	207	8	4	5.5	4
6	18	191	14	20	211.0	4
7	237	187	4	6	6.0	4
7	217	185	16	20	108.5	4
8	307	174	15	20	113.0	4
9	55	86	14	20	46.5	4
10	93	64	14	20	112.0	4
11	53	11	17	29	104.5	4

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	207	420	20	17	60.0	5
1	48	415	12	20	103.5	5
2	409	381	10	20	82.5	5
3	106	366	18	21	169.0	5
4	513	298	18	20	64.5	5
5	192	224	14	20	125.0	5
6	305	215	5	13	7.5	5
7	302	208	7	4	3.5	5
7	136	207	255	155	1209.0	5
7	19	192	14	20	211.0	5
8	217	185	18	22	115.0	5
9	308	174	15	20	113.0	5
10	57	87	14	20	46.5	5
11	93	66	14	20	112.0	5
12	53	12	19	29	103.5	5

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	222	434	3	3	2.5	6
0	207	421	20	17	60.5	6
1	48	415	12	20	103.5	6
2	409	382	10	20	82.5	6
3	108	368	18	20	163.0	6
4	513	298	18	20	64.5	6
5	192	226	14	20	125.0	6
6	307	213	5	15	11.0	6
7	136	207	255	155	1216.0	6
7	19	192	14	20	211.0	6
8	219	189	16	20	109.5	6
9	308	175	15	20	117.0	6
10	58	88	14	20	46.5	6
11	95	67	14	20	112.0	6
12	54	13	19	28	98.5	6
13	553	4	12	20	133.5	6

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	207	423	20	17	60.0	7
1	48	417	12	20	103.5	7
2	410	382	10	20	82.5	7
3	110	368	18	20	163.0	7
4	513	299	18	20	64.5	7
5	66	228	6	4	6.0	7
5	194	226	14	20	125.0	7
6	309	211	6	19	18.0	7
7	136	207	255	155	1215.0	7
7	19	192	14	20	211.0	7
8	219	191	16	20	109.5	7
9	309	177	15	20	113.0	7
10	58	89	14	20	46.5	7
11	97	67	14	20	112.0	7
12	54	14	20	28	97.0	7
13	553	4	12	20	134.0	7

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	207	425	20	17	60.0	8
1	50	417	12	20	104.5	8
2	411	382	10	20	82.5	8
3	111	369	18	20	163.0	8
4	513	299	18	20	64.5	8
